Campaign_ID,Campaign_Name,Platform,Start_Date,End_Date,Clicks,Conversions,Cost,Data_Quality_Flag,Campaign_Duration_Days,Conversion_Rate,CPC,CPA,Conversion_Efficiency,Duration_Group,Start_YearMonth
CP89983,Order Campaign,Instagram,2023-11-14,2025-05-21,2630.0,1692.0,11905.26,False,554,0.6433460076045627,4.5267148288973384,7.036205673758865,0.14212205361327682,> 12 Months,2023-11
CP26597,City Campaign,Twitter,2024-03-02,2024-12-11,14563.0,379.0,7379.52,False,284,0.02602485751562178,0.5067307560255442,19.471029023746702,0.051358353930878974,6–12 Months,2024-03
CP82217,While Campaign,Google,2024-04-17,2024-12-07,10891.0,607.0,32802.26,False,234,0.05573409236984666,3.0118685152878526,54.039967051070846,0.01850482253356933,6–12 Months,2024-04
CP13723,Evidence Campaign,Facebook,2024-01-25,2025-08-20,8991.0,1895.0,92.5,False,573,0.210766321877433,0.0102880658436214,0.048812664907651716,20.486486486486488,> 12 Months,2024-01
CP58995,Son Campaign,Email,2024-02-15,2025-02-05,2257.0,45.0,20123.33,False,356,0.01993797075764289,8.91596366858662,447.18511111111115,0.0022362104085158867,6–12 Months,2024-02
CP95643,We Campaign,Facebook,2024-05-14,2025-02-10,1479.0,836.0,12056.88,False,272,0.5652467883705207,8.152048681541581,14.422105263157894,0.06933800452521714,6–12 Months,2024-05
CP64704,Or Campaign,Facebook,2024-10-21,2024-11-30,16336.0,1047.0,26080.28,False,40,0.06409157688540647,1.5964911851126347,24.90953199617956,0.04014527451392393,1–3 Months,2024-10
CP60150,Maintain Campaign,Facebook,2024-01-15,2025-03-04,16918.0,1000.0,49251.45,False,414,0.05910864168341411,2.911186310438586,49.25145,0.02030397074603895,> 12 Months,2024-01
CP95264,Point Campaign,Google,2023-12-26,2024-11-28,14659.0,217.0,12796.32,False,338,0.014803192577938468,0.8729326693498874,58.96921658986175,0.016958000425122223,6–12 Months,2023-12
CP47746,Minute Campaign,Facebook,2024-02-07,2025-01-06,14536.0,1287.0,17374.86,False,334,0.0885388002201431,1.1952985690698954,13.500279720279721,0.0740725392895252,6–12 Months,2024-02
CP98212,Painting Campaign,Google,2024-03-17,2025-03-19,10775.0,1341.0,29427.14,False,367,0.12445475638051044,2.7310570765661253,21.944175988068604,0.045570177733887836,> 12 Months,2024-03
